"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1362501;7.9317;61.6858;1671
;1362504;7.988;61.6887;1494
;1362505;8.0068;61.6897;1474
;1362506;8.0255;61.6906;1495
;1362507;8.0443;61.6916;1458
;1362508;8.0631;61.6926;1484
;1362509;8.0818;61.6935;1545
;1362510;8.1006;61.6945;1387
;1362511;8.1194;61.6954;1338
;1362512;8.1381;61.6964;1132
;1362513;8.1569;61.6973;1117
;1362514;8.1756;61.6982;969
;1362515;8.1944;61.6992;931
;1362516;8.2132;61.7001;1114
;1362517;8.232;61.701;954
;1362518;8.2507;61.702;1042
;1362519;8.2695;61.7029;961
;1362520;8.2883;61.7038;653
;1362521;8.3071;61.7048;911
;1362522;8.3259;61.7057;747
;1362523;8.3447;61.7066;894
;1362524;8.3634;61.7075;1075
;1362525;8.3822;61.7084;1168
;1362526;8.401;61.7093;1238
;1362527;8.4198;61.7102;1034
;1362528;8.4386;61.7111;743
;1362529;8.4574;61.712;976
;1362530;8.4762;61.7129;1190
;1362531;8.495;61.7138;1366
;1362532;8.5138;61.7147;1371
;1362533;8.5325;61.7156;1415
;1362534;8.5513;61.7165;1439
;1363695;7.915;61.6759;1588
;1363696;7.9338;61.6769;1521
;1363697;7.9525;61.6779;1419
;1363698;7.9713;61.6788;1394
;1363699;7.99;61.6798;1444
;1363700;8.0088;61.6808;1427
;1363701;8.0275;61.6817;1413
;1363702;8.0463;61.6827;1507
;1363703;8.0651;61.6836;1361
;1363704;8.0838;61.6846;1308
;1363705;8.1026;61.6856;1326
;1363706;8.1213;61.6865;1258
;1363707;8.1401;61.6874;1061
;1363708;8.1589;61.6884;762
;1363709;8.1776;61.6893;774
;1363710;8.1964;61.6903;1214
;1363711;8.2152;61.6912;1102
;1363712;8.2339;61.6921;1084
;1363713;8.2527;61.6931;996
;1363714;8.2715;61.694;707
;1363715;8.2902;61.6949;855
;1363716;8.309;61.6958;876
;1363717;8.3278;61.6968;1066
;1363718;8.3466;61.6977;1234
;1363719;8.3654;61.6986;1373
;1363720;8.3841;61.6995;1542
;1363721;8.4029;61.7004;1397
;1363722;8.4217;61.7013;1271
;1363723;8.4405;61.7022;837
;1363724;8.4593;61.7031;991
;1363725;8.4781;61.704;1399
;1363726;8.4968;61.7049;1481
;1363727;8.5156;61.7058;1582
;1363728;8.5344;61.7067;1779
;1363729;8.5532;61.7076;1929
;1364889;7.8983;61.6661;1439
;1364890;7.9171;61.667;1389
;1364891;7.9358;61.668;1386
;1364892;7.9546;61.669;1292
;1364893;7.9733;61.6699;1189
;1364894;7.9921;61.6709;1192
;1364895;8.0108;61.6719;1359
;1364896;8.0296;61.6728;1423
;1364897;8.0483;61.6738;1338
;1364898;8.0671;61.6747;1336
;1364899;8.0858;61.6757;1294
;1364900;8.1046;61.6766;1240
;1364901;8.1233;61.6776;1101
;1364902;8.1421;61.6785;815
;1364903;8.1608;61.6795;1143
;1364904;8.1796;61.6804;1127
;1364905;8.1984;61.6814;1039
;1364906;8.2171;61.6823;894
;1364907;8.2359;61.6832;724
;1364908;8.2547;61.6841;785
;1364909;8.2734;61.6851;877
;1364910;8.2922;61.686;986
;1364911;8.311;61.6869;1168
;1364912;8.3297;61.6878;1373
;1364913;8.3485;61.6888;1574
;1364914;8.3673;61.6897;1610
;1364915;8.3861;61.6906;1661
;1364916;8.4048;61.6915;1527
;1364917;8.4236;61.6924;1414
;1364918;8.4424;61.6933;919
;1364919;8.4612;61.6942;1062
;1364920;8.4799;61.6951;1443
;1364921;8.4987;61.696;1554
;1364922;8.5175;61.6969;1574
;1364923;8.5363;61.6978;1787
;1364924;8.5551;61.6987;1849
;1364925;8.5739;61.6996;2119
;1366084;7.9004;61.6571;1437
;1366085;7.9191;61.6581;1400
;1366086;7.9379;61.6591;1397
;1366087;7.9566;61.6601;1381
;1366088;7.9753;61.661;1120
;1366089;7.9941;61.662;1189
;1366090;8.0128;61.663;1015
;1366091;8.0316;61.6639;940
;1366092;8.0503;61.6649;1051
;1366093;8.0691;61.6658;1318
;1366094;8.0878;61.6668;1359
;1366095;8.1066;61.6677;1021
;1366096;8.1253;61.6687;905
;1366097;8.1441;61.6696;835
;1366098;8.1628;61.6706;1065
;1366099;8.1816;61.6715;1091
;1366100;8.2003;61.6724;857
;1366101;8.2191;61.6734;855
;1366102;8.2379;61.6743;1009
;1366103;8.2566;61.6752;1208
;1366104;8.2754;61.6762;1378
;1366105;8.2941;61.6771;1227
;1366106;8.3129;61.678;1698
;1366107;8.3317;61.6789;1941
;1366108;8.3504;61.6798;1850
;1366109;8.3692;61.6808;1844
;1366110;8.388;61.6817;1686
;1366111;8.4067;61.6826;1564
;1366112;8.4255;61.6835;1261
;1366113;8.4443;61.6844;857
;1366114;8.4631;61.6853;1284
;1366115;8.4818;61.6862;1673
;1366116;8.5006;61.6871;1857
;1366117;8.5194;61.688;1620
;1366118;8.5382;61.6889;1822
;1367279;7.9025;61.6482;1514
;1367280;7.9212;61.6492;1371
;1367281;7.9399;61.6502;1214
;1367282;7.9587;61.6512;1299
;1367283;7.9774;61.6521;1157
;1367284;7.9961;61.6531;1019
;1367285;8.0149;61.654;1017
;1367286;8.0336;61.655;1101
;1367287;8.0523;61.656;1037
