*Time*          *Precip*      *Precip*     *Precip*     *Temp*         *Temp*         *Temp*
                 Selbu         Berkaak      Roros        Selbu          Berkaak        Roros      
19871025/1200    0.000000      0.000000     0.000000     2.900000       0.600000       0.000000           
19871026/1200    0.000000      0.000000     0.000000     4.400000       4.200000       -1.600000          
19871027/1200    0.000000      0.000000     0.000000     6.800000       5.100000       2.500000           
19871028/1200    0.000000      0.000000     0.000000     7.100000       6.100000       3.300000           
19871029/1200    1.000000      0.100000     0.100000     2.800000       1.400000       0.400000           
19871030/1200    0.000000      0.000000     0.000000     4.200000       1.900000       1.100000           
19871031/1200    0.000000      0.000000     3.500000     3.000000       3.900000       2.100000           
19871101/1200    1.800000      1.100000     0.000000     3.200000       1.300000       0.000000           
19871102/1200    1.000000      0.200000     0.300000     3.100000       2.100000       -1.400000          
19871103/1200    2.400000      0.500000     0.100000     4.300000       3.600000       2.500000           
19871104/1200    2.200000      0.200000     0.000000     6.600000       5.900000       4.200000           
19871105/1200    2.700000      2.000000     0.900000     6.900000       5.800000       4.900000           
19871106/1200    3.500000      0.200000     0.200000     6.300000       4.500000       3.700000           
19871107/1200    17.500000     17.500000    4.300000     0.000000       -0.600000      -2.000000              
19871108/1200    9.200000      29.699999    7.899999     -3.800000      -4.900000      -6.200000              
19871109/1200    0.000000      0.000000     0.300000     -8.300000      -11.300000     -15.600000         
19871110/1200    0.000000      0.000000     0.000000     -7.300000      -9.800000      -16.500000         
19871111/1200    0.000000      0.000000     0.000000     -4.700000      -8.900000      -15.000000         
19871112/1200    0.000000      0.000000     0.000000     0.700000       -2.000000      -4.300000          
19871113/1200    0.000000      0.200000     8.599999     2.300000       0.000000       -1.000000          
19871114/1200    0.000000      0.000000     1.700000     3.900000       0.800000       0.400000           
19871115/1200    0.000000      0.000000     0.000000     3.900000       -0.500000      0.900000           
19871116/1200    0.000000      0.000000     0.000000     3.800000       0.800000       0.300000           
19871117/1200    0.000000      0.000000     1.900000     2.800000       0.900000       0.200000           
19871118/1200    2.300000      1.400000     0.000000     2.500000       0.800000       -0.600000          
19871119/1200    5.500000      1.300000     4.300000     1.900000       0.400000       -1.800000          
19871120/1200    0.400000      0.000000     0.000000     -0.800000      -3.700000      -3.400000          
19871121/1200    0.000000      0.000000     0.000000     -1.100000      -4.900000      -6.200000          
19871122/1200    0.000000      0.500000     0.700000     1.700000       -1.300000      -2.000000          
19871123/1200    0.000000      0.000000     1.500000     0.900000       -1.400000      -2.300000          
19871124/1200    0.000000      0.000000     0.500000     -2.800000      -5.900000      -6.500000          
19871125/1200    0.000000      0.200000     0.200000     -4.400000      -4.900000      -11.800000         
19871126/1200    0.000000      0.000000     0.000000     -3.800000      -8.400000      -9.400000          
19871127/1200    0.000000      0.000000     0.300000     -7.700000      -11.900000     -15.100000         
19871128/1200    0.000000      0.000000     0.000000     -4.000000      -8.200000      -19.400000         
19871129/1200    0.000000      0.000000     0.000000     -4.800000      -8.800000      -17.500000         
19871130/1200    0.000000      0.000000     0.000000     -3.100000      -4.600000      -10.700000         
19871201/1200    4.800000      5.500000     2.100000     1.600000       -0.500000      -1.500000          
19871202/1200    3.500000      0.000000     0.000000     3.100000       1.400000       1.200000           
19871203/1200    2.700000      0.000000     0.000000     3.100000       -3.000000      -1.600000          
19871204/1200    0.000000      0.000000     0.000000     1.200000       -5.200000      -14.100000         
19871205/1200    1.900000      3.100000     0.800000     1.100000       -0.400000      -4.700000          
19871206/1200    8.999999      7.500000     2.100000     -2.500000      -6.800000      -7.800000          
19871207/1200    0.000000      0.600000     0.200000     -10.300000     -9.500000      -15.300000         
19871208/1200    2.700000      1.300000     2.900000     -3.400000      -4.700000      -4.900000          
19871209/1200    22.099998     0.300000     0.700000     1.000000       0.700000       0.600000           
19871210/1200    53.199997     24.599998    3.600000     1.800000       0.800000       0.400000           
19871211/1200    6.800000      22.099998    15.499999    -1.300000      -3.100000      -4.400000              
19871212/1200    4.200000      5.500000     3.700000     1.300000       0.100000       -1.300000          
19871213/1200    24.499998     1.000000     2.200000     1.900000       1.400000       0.900000           
19871214/1200    17.999998     6.400000     3.200000     -2.100000      -5.400000      -6.900000          
19871215/1200    0.800000      0.300000     0.000000     -3.000000      -6.900000      -10.900000         
19871216/1200    7.000000      7.600000     2.400000     -7.500000      -12.600000     -14.600000         
19871217/1200    1.500000      0.000000     0.000000     -7.100000      -11.600000     -20.299999         
19871218/1200    0.000000      0.000000     0.000000     -6.100000      -7.500000      -19.900000         
19871219/1200    6.000000      3.000000     1.800000     -0.800000      -1.900000      -7.700000          
19871220/1200    2.600000      1.300000     0.200000     1.200000       -0.800000      -2.700000          
19871221/1200    12.400000     13.799999    7.300000     3.700000       1.700000       0.500000           
19871222/1200    1.000000      1.100000     1.500000     3.200000       1.000000       -2.500000          
19871223/1200    0.500000      2.300000     0.000000     1.900000       -1.500000      -2.500000          
19871224/1200    0.700000      0.600000     0.600000     2.200000       -0.600000      -7.000000          
19871225/1200    0.200000      0.000000     0.000000     0.600000       -1.500000      -10.800000         
19871226/1200    0.200000      1.000000     0.200000     0.200000       -1.300000      -6.600000          
19871227/1200    1.300000      2.300000     0.400000     -3.700000      -5.500000      -5.500000          
19871228/1200    1.500000      2.300000     1.000000     -2.000000      -4.900000      -5.800000          
19871229/1200    0.600000      0.400000     2.100000     2.000000       -1.100000      -7.300000          
19871230/1200    9.499999      1.500000     0.500000     2.500000       0.600000       -2.100000          
19871231/1200    11.499999     3.100000     0.200000     1.900000       1.400000       -0.700000          
19880101/1200    2.000000      2.300000     1.000000     4.200000       2.800000       0.900000           
19880102/1200    4.000000      0.000000     0.700000     1.800000       -0.400000      -3.900000          
19880103/1200    1.800000      2.400000     1.600000     0.200000       -2.200000      -3.000000          
19880104/1200    1.500000      0.900000     0.300000     -0.600000      -2.900000      -4.300000          
19880105/1200    0.200000      0.100000     0.100000     -4.100000      -7.700000      -8.500000          
19880106/1200    0.000000      0.000000     0.100000     -3.100000      -5.200000      -7.000000          
19880107/1200    0.000000      0.000000     0.600000     -2.900000      -4.400000      -7.400000          
19880108/1200    0.000000      0.000000     0.400000     -3.200000      -7.500000      -15.700000         
19880109/1200    0.000000      0.000000     0.000000     1.000000       -1.000000      -6.900000          
19880110/1200    0.500000      0.000000     0.000000     5.100000       3.100000       1.400000           
19880111/1200    0.000000      0.000000     0.000000     2.400000       0.000000       -4.200000          
19880112/1200    0.000000      0.000000     0.000000     -1.900000      -4.900000      -13.300000         
19880113/1200    0.700000      0.000000     0.700000     2.800000       1.700000       -4.500000          
19880114/1200    0.000000      0.100000     0.000000     4.400000       2.400000       0.400000           
19880115/1200    1.500000      2.500000     3.900000     1.400000       -0.300000      -0.600000          
19880116/1200    2.500000      0.200000     1.500000     -1.600000      -4.400000      -6.200000          
19880117/1200    0.000000      0.000000     0.000000     -3.800000      -6.500000      -9.100000          
19880118/1200    0.000000      0.100000     0.000000     -0.500000      -3.200000      -5.900000          
19880119/1200    1.000000      1.100000     2.600000     -1.400000      -5.400000      -5.400000          
19880120/1200    0.100000      0.000000     1.000000     2.200000       -1.300000      -3.700000          
19880121/1200    0.000000      0.000000     0.000000     3.400000       0.000000       -0.500000          
19880122/1200    0.000000      0.000000     0.100000     2.100000       0.100000       -0.800000          
19880123/1200    0.000000      0.000000     0.000000     0.300000       -2.600000      -3.300000          
19880124/1200    0.000000      0.300000     0.000000     -3.400000      -9.300000      -16.000000         
19880125/1200    0.000000      0.100000     0.000000     -9.300000      -15.900000     -11.500000         
19880126/1200    0.000000      0.000000     2.100000     -2.600000      -5.700000      -4.600000          
19880127/1200    0.600000      1.400000     1.600000     -3.700000      -5.600000      -6.700000          
19880128/1200    1.700000      2.100000     4.300000     -2.100000      -5.200000      -5.900000          
19880129/1200    0.000000      0.000000     0.700000     -1.300000      -3.200000      -5.300000          
19880130/1200    0.000000      0.000000     1.000000     -2.800000      -4.900000      -6.600000          
19880131/1200    0.000000      0.000000     0.100000     -3.600000      -5.600000      -7.200000          
19880201/1200    0.000000      0.000000     0.100000     -2.800000      -5.200000      -7.300000          
19880202/1200    0.000000      0.000000     1.300000     1.100000       -1.000000      -2.700000          
19880203/1200    0.000000      0.000000     0.700000     3.000000       0.700000       -0.600000          
19880204/1200    0.500000      0.000000     0.000000     0.800000       -1.500000      -3.700000          
19880205/1200    0.200000      0.000000     0.000000     3.000000       0.500000       -1.100000          
19880206/1200    0.000000      0.000000     0.200000     3.000000       0.200000       -0.500000          
19880207/1200    0.000000      0.000000     0.000000     -1.000000      -6.100000      -3.600000          
19880208/1200    4.700000      2.400000     2.000000     -3.100000      -8.000000      -7.300000          
19880209/1200    0.000000      0.000000     0.100000     -4.900000      -7.400000      -12.200000         
19880210/1200    0.000000      0.000000     1.500000     0.300000       -2.200000      -3.400000          
19880211/1200    0.000000      0.000000     0.700000     1.300000       -0.900000      -1.400000          
19880212/1200    6.300000      2.300000     7.500000     -0.500000      -2.800000      -3.200000          
19880213/1200    1.600000      0.100000     0.600000     -4.900000      -8.100000      -11.700000         
19880214/1200    0.000000      0.200000     0.000000     0.800000       -1.400000      -6.000000          
19880215/1200    0.000000      0.800000     0.000000     2.100000       -0.700000      -4.500000          
19880216/1200    0.000000      0.000000     0.200000     4.000000       0.400000       -1.800000          
19880217/1200    0.000000      0.000000     0.000000     -1.500000      -2.700000      -4.300000          
19880218/1200    0.400000      0.000000     0.700000     -2.900000      -4.200000      -7.000000          
19880219/1200    0.500000      1.500000     2.300000     -2.900000      -4.600000      -7.600000          
19880220/1200    2.200000      5.000000     1.000000     -2.800000      -8.600000      -10.100000         
19880221/1200    14.000000     5.599999     7.600000     -0.200000      -1.600000      -4.200000          
19880222/1200    5.200000      1.100000     1.800000     0.900000       -3.800000      -6.800000          
19880223/1200    1.000000      0.800000     1.900000     -5.200000      -6.400000      -7.900000          
19880224/1200    0.100000      0.200000     1.500000     -11.000000     -13.700000     -18.400000         
19880225/1200    0.000000      0.000000     0.000000     -11.400000     -11.700000     -20.799999         
19880226/1200    0.000000      0.000000     0.000000     -10.400000     -12.400000     -23.900000         
19880227/1200    2.800000      1.000000     1.400000     -3.600000      -4.800000      -14.500000         
19880228/1200    8.500000      5.500000     6.800000     -0.900000      -0.900000      -3.800000          
19880229/1200    3.000000      10.299999    3.800000     -4.300000      -5.300000      -6.200000              
19880301/1200    1.800000      4.300000     1.500000     -6.200000      -6.500000      -7.900000          
19880302/1200    0.100000      0.600000     0.400000     -6.200000      -6.700000      -8.000000          
19880303/1200    0.000000      2.500000     0.700000     -3.900000      -5.200000      -6.000000          
19880304/1200    5.000000      7.000000     5.000000     -6.400000      -7.700000      -7.800000          
19880305/1200    5.500000      5.200000     4.900000     -5.500000      -8.800000      -6.700000          
19880306/1200    0.000000      0.100000     0.300000     -7.900000      -9.000000      -7.100000          
19880307/1200    0.000000      0.000000     0.500000     -8.300000      -8.700000      -9.000000          
19880308/1200    0.000000      0.000000     0.100000     -5.200000      -8.800000      -8.900000          
19880309/1200    0.000000      0.100000     0.000000     -4.400000      -6.800000      -16.500000         
19880310/1200    2.000000      3.200000     2.100000     -1.800000      -5.600000      -7.600000          
19880311/1200    6.000000      2.500000     0.300000     -2.800000      -4.400000      -6.700000          
19880312/1200    4.200000      2.700000     0.500000     -4.300000      -5.900000      -6.000000          
19880313/1200    8.000000      1.400000     0.500000     -3.600000      -7.300000      -7.700000          
19880314/1200    3.000000      0.000000     0.100000     -5.800000      -8.400000      -10.300000         
19880315/1200    0.000000      0.100000     0.000000     -10.100000     -11.700000     -16.299999         
19880316/1200    0.000000      0.000000     0.000000     -11.300000     -12.900000     -18.900000         
19880317/1200    0.000000      0.200000     0.600000     -9.500000      -6.700000      -17.200001         
19880318/1200    0.100000      1.400000     0.000000     -1.500000      -4.400000      -6.400000          
19880319/1200    1.500000      2.600000     0.400000     -0.200000      -3.400000      -9.300000          
19880320/1200    0.000000      0.000000     0.000000     2.200000       0.600000       -1.500000          
19880321/1200    0.000000      0.000000     0.000000     3.500000       1.400000       -3.000000          
19880322/1200    0.000000      0.000000     0.000000     1.400000       -0.100000      -1.200000          
19880323/1200    0.000000      0.000000     0.000000     -0.200000      -1.400000      -3.800000          
19880324/1200    0.000000      0.000000     0.000000     0.300000       -1.500000      -6.300000          
19880325/1200    0.000000      0.000000     0.000000     0.000000       -1.300000      -3.500000          
19880326/1200    0.000000      0.000000     0.000000     -0.200000      -2.100000      -3.600000          
19880327/1200    0.000000      0.000000     0.000000     0.900000       -2.000000      -1.600000          
19880328/1200    0.000000      0.000000     0.000000     2.200000       -2.100000      -0.700000          
19880329/1200    0.000000      0.000000     0.500000     2.200000       0.200000       -1.000000          
19880330/1200    0.000000      0.000000     0.000000     2.800000       1.500000       -0.500000          
19880331/1200    0.000000      0.000000     0.200000     4.100000       2.100000       0.800000           
19880401/1200    1.500000      1.000000     0.100000     3.300000       2.700000       2.200000           
19880402/1200    1.000000      0.100000     0.100000     2.300000       0.200000       -0.100000          
19880403/1200    0.000000      0.000000     0.000000     4.300000       1.200000       -1.400000          
19880404/1200    0.000000      0.000000     0.000000     4.400000       2.700000       -0.800000          
19880405/1200    0.500000      0.100000     0.000000     4.400000       2.500000       2.900000           
19880406/1200    4.800000      1.800000     0.000000     4.100000       3.600000       4.000000           
19880407/1200    4.900000      1.000000     0.000000     5.200000       2.200000       3.000000           
19880408/1200    6.500000      4.300000     1.200000     -2.500000      -4.000000      -3.900000          
19880409/1200    1.500000      12.900000    9.600000     -3.300000      -4.300000      -5.500000              
19880410/1200    10.999999     8.999999     6.500000     -4.000000      -6.800000      -9.600000          
19880411/1200    2.500000      5.700000     4.800000     -2.100000      -3.800000      -3.900000          
19880412/1200    0.300000      0.100000     0.000000     -3.500000      -6.100000      -8.000000          
19880413/1200    5.000000      2.600000     1.200000     -2.400000      -4.100000      -5.900000          
19880414/1200    3.500000      2.900000     0.300000     -2.400000      -4.500000      -4.500000          
19880415/1200    11.699999     5.400000     1.500000     2.300000       1.900000       0.900000           
