*Time*            *Precip*    *Temp*
Saeternbekken
19960906/1400     0       14.6              
19960906/1500     0       12.85             
19960906/1600     0       13.65             
19960906/1700     0       11                
19960906/1800     0       8.95              
19960906/1900     0       7.85              
19960906/2000     0       7.45              
19960906/2100     0       6.5               
19960906/2200     0       5.95              
19960906/2300     0       6.1               
19960907/0000     0       5.15              
19960907/0100     0       5.05              
19960907/0200     0       5.05              
19960907/0300     0       4.7               
19960907/0400     0       4.35              
19960907/0500     0       4.9               
19960907/0600     0       7.3               
19960907/0700     0       10.4              
19960907/0800     0       12.15             
19960907/0900     0       12.8              
19960907/1000     0       14.25             
19960907/1100     0       14.65             
19960907/1200     0       16.35             
19960907/1300     0       17.45             
19960907/1400     0       17.75             
19960907/1500     0       15.65             
19960907/1600     0       16.4              
19960907/1700     0       12.6              
19960907/1800     0       11                
19960907/1900     0       10.35             
19960907/2000     0       10.05             
19960907/2100     0       9.5               
19960907/2200     0       8.6               
19960907/2300     0       10.45             
19960908/0000     0       11.75             
19960908/0100     0       11.2              
19960908/0200     0       11.15             
19960908/0300     0       11.65             
19960908/0400     0       10.35             
19960908/0500     0       9.8               
19960908/0600     0       10.25             
19960908/0700     0       10.85             
19960908/0800     0       12.1              
19960908/0900     0       13.05             
19960908/1000     0       13.05             
19960908/1100     0       12.95             
19960908/1200     0       14.35             
19960908/1300     0       16.05             
19960908/1400     0       16.35             
19960908/1500     0       15.95             
19960908/1600     0.36    13.05             
19960908/1700     0.51    10.8              
19960908/1800     0       9.9               
19960908/1900     0       8.9               
19960908/2000     0       8.05              
19960908/2100     0       7.55              
19960908/2200     0       6.7               
19960908/2300     0       5.7               
19960909/0000     0       4.5               
19960909/0100     0       4.2               
19960909/0200     0       3.15              
19960909/0300     0       3.35              
19960909/0400     0       2.8               
19960909/0500     0       2.8               
19960909/0600     0       4.85              
19960909/0700     0       7.25              
19960909/0800     0       9.35              
19960909/0900     0       10.75             
19960909/1000     0       12.35             
19960909/1100     0       12.65             
19960909/1200     0       14.45             
19960909/1300     0       15.35             
19960909/1400     0       15.45             
19960909/1500     0       13.95             
19960909/1600     0       13.95             
19960909/1700     0       10.85             
19960909/1800     0       9.6               
19960909/1900     0       8.6               
19960909/2000     0       8.4               
19960909/2100     0       7.85              
19960909/2200     0       7.05              
19960909/2300     0       6.65              
19960910/0000     0       7                 
19960910/0100     0       7.15              
19960910/0200     0       7                 
19960910/0300     0       6.65              
