*Time*            *Precip*    *Temp*
Saeternbekken
19961109/0100     1.89    -2.1              
19961109/0200     2.55    -2.1              
19961109/0300     1.22    -1.95             
19961109/0400     0       -1.9              
19961109/0500     0       -2.15             
19961109/0600     0       -2.75             
19961109/0700     0       -3.3              
19961109/0800     0       -3.35             
19961109/0900     0.41    -2.15             
19961109/1000     1.02    -1.5              
19961109/1100     2.14    -1.15             
19961109/1200     0.61    -0.85             
19961109/1300     0.2     -0.85             
19961109/1400     0       -1.1              
19961109/1500     0       -1.75             
19961109/1600     0       -2.55             
19961109/1700     0       -3.3              
19961109/1800     0       -3.3              
19961109/1900     0       -3.7              
19961109/2000     0       -4                
19961109/2100     0       -4.1              
19961109/2200     0       -4.85             
19961109/2300     0       -5.15             
19961110/0000     0       -5.5              
19961110/0100     0       -6.2              
19961110/0200     0       -6.25             
19961110/0300     0       -6.1              
19961110/0400     0       -5.45             
19961110/0500     0       -5.4              
19961110/0600     0       -5.9              
19961110/0700     0       -5.65             
19961110/0800     0.36    -4.9              
19961110/0900     1.33    -4.75             
19961110/1000     1.53    -4.15             
19961110/1100     0.51    -3.55             
19961110/1200     0.1     -3.2              
19961110/1300     0       -3.1              
19961110/1400     0       -2.95             
19961110/1500     0       -3.1              
19961110/1600     0       -3.25             
19961110/1700     0.1     -3.3              
19961110/1800     0       -3.35             
19961110/1900     0       -3.2              
19961110/2000     0       -2.75             
19961110/2100     0       -2.6              
19961110/2200     0       -2.8              
19961110/2300     0.1     -3.15             
19961111/0000     0       -3.45             
19961111/0100     0       -3.75             
19961111/0200     0       -3.75             
19961111/0300     0       -4                
19961111/0400     0       -4.2              
19961111/0500     0       -4.4              
19961111/0600     0       -4.9              
19961111/0700     0       -5.5              
19961111/0800     0       -5.8              
19961111/0900     0       -5.75             
19961111/1000     0       -4.2              
19961111/1100     0       -3.5              
19961111/1200     0       -2.75             
19961111/1300     0       -2.55             
19961111/1400     0       -3                
19961111/1500     0       -3.4              
19961111/1600     0       -4.45             
19961111/1700     0       -5.4              
19961111/1800     0       -4.6              
19961111/1900     0       -4.85             
19961111/2000     0       -4.55             
19961111/2100     0       -4.55             
19961111/2200     0       -4.1              
19961111/2300     0       -4.1              
19961112/0000     0       -3.85             
19961112/0100     0       -3.75             
19961112/0200     0       -3.35             
19961112/0300     0       -3.85             
19961112/0400     0       -3.75             
19961112/0500     0       -3.3              
19961112/0600     0       -3.15             
19961112/0700     0       -3.2              
19961112/0800     0       -3.55             
19961112/0900     0       -3.7              
19961112/1000     0       -3.45             
19961112/1100     0       -3.05             
19961112/1200     0       -3.1              
19961112/1300     0       -2.9              
19961112/1400     0       -2.75             
19961112/1500     0       -2.85             
19961112/1600     0.25    -2.85             
19961112/1700     0.2     -3                
19961112/1800     0.41    -3.1              
19961112/1900     0.31    -3                
19961112/2000     0.41    -2.8              
19961112/2100     0.41    -2.65             
19961112/2200     0.41    -2.6              
19961112/2300     0.31    -2.55             
19961113/0000     0.36    -2.6              
19961113/0100     0       -2.65             
19961113/0200     0       -2.6              
19961113/0300     0.1     -2.45             
19961113/0400     0.1     -2.3              
19961113/0500     0       -2.25             
19961113/0600     0.1     -2.25             
19961113/0700     0       -2.35             
19961113/0800     0       -2.4              
19961113/0900     0       -2.2              
19961113/1000     0       -2.3              
19961113/1100     0       -2.05             
19961113/1200     0       -1.65             
19961113/1300     0       -1.85             
19961113/1400     0       -2.2              
19961113/1500     0       -2.25             
19961113/1600     0       -2.45             
19961113/1700     0       -2.9              
19961113/1800     0       -3.6              
19961113/1900     0       -3.4              
19961113/2000     0       -2.9              
19961113/2100     0       -3.8              
19961113/2200     0       -4.55             
19961113/2300     0       -5.25             
19961114/0000     0       -6.15             
19961114/0100     0       -5.65             
19961114/0200     0       -6.3              
19961114/0300     0       -7.2              
19961114/0400     0       -7.4              
19961114/0500     0       -7.6              
19961114/0600     0       -7.25             
19961114/0700     0       -7.6              
19961114/0800     0       -7.3              
19961114/0900     0       -6.15             
19961114/1000     0       -5.3              
19961114/1100     0       -4.65             
19961114/1200     0       -4.2              
19961114/1300     0       -3.8              
19961114/1400     0       -3.9              
19961114/1500     0       -4.1              
19961114/1600     0       -4.8              
19961114/1700     0       -4.95             
19961114/1800     0       -4.9              
19961114/1900     0       -4.85             
19961114/2000     0       -4.9              
19961114/2100     0       -4.25             
19961114/2200     0       -3.9              
19961114/2300     0       -3.55             
19961115/0000     0       -3.15             
19961115/0100     0       -2.75             
19961115/0200     0       -2.45             
19961115/0300     0       -2.15             
19961115/0400     0       -1.9              
19961115/0500     0       -1.65             
19961115/0600     0       -1.4              
19961115/0700     0       -1.15             
19961115/0800     0       -0.6              
19961115/0900     0       -0.3              
19961115/1000     0       0.2               
19961115/1100     0       1.05              
19961115/1200     0       2.05              
19961115/1300     0       2.15              
19961115/1400     0       1.85              
19961115/1500     0       2.5               
19961115/1600     0       2.75              
19961115/1700     0       2.95              
19961115/1800     0       3.25              
19961115/1900     0       3.15              
19961115/2000     0       3.25              
19961115/2100     0       3.25              
19961115/2200     0       3.4               
19961115/2300     0       3.6               
19961116/0000     0       3.35              
19961116/0100     0       3.1               
19961116/0200     0       3.05              
19961116/0300     0       2.85              
19961116/0400     0       3.15              
19961116/0500     0       2.6               
19961116/0600     0       2.05              
19961116/0700     0       2.4               
19961116/0800     0       2.4               
19961116/0900     0       2.75              
19961116/1000     0       2.7               
19961116/1100     0       2.75              
19961116/1200     0       2.75              
19961116/1300     0       2.65              
19961116/1400     0       2.75              
19961116/1500     0       2.7               
19961116/1600     0       2.6               
19961116/1700     0       2.15              
19961116/1800     0       1.9               
19961116/1900     0       1.65              
19961116/2000     0       1.85              
19961116/2100     0       1.75              
19961116/2200     0       1.9               
19961116/2300     0       2.35              
19961117/0000     0       2.55              
19961117/0100     0       3.6               
19961117/0200     0       4.6               
19961117/0300     0       4.95              
19961117/0400     0       5.15              
19961117/0500     0       5.25              
19961117/0600     0       5.15              
19961117/0700     0       4.95              
19961117/0800     0       4.95              
19961117/0900     0       5.2               
19961117/1000     0       5.7               
19961117/1100     0       5.7               
19961117/1200     0       5.6               
19961117/1300     0       5.6               
19961117/1400     0       5.6               
19961117/1500     0       5.45              
19961117/1600     0.56    5.05              
19961117/1700     0.51    3.7               
19961117/1800     0.41    1.75              
19961117/1900     0.51    1                 
19961117/2000     0.31    0.7               
19961117/2100     0.2     0.4               
19961117/2200     0.31    0.2               
19961117/2300     0.1     0                 
